time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-04-17T12:00:00.0000000Z,2020-04-17T13:00:00.0000000Z,2020-04-17T12:00:32.8765580Z,2020-04-17T12:59:53.1679420Z,232.93,234.15,232.4,233.82,728.15734544,305
2020-04-17T13:00:00.0000000Z,2020-04-17T14:00:00.0000000Z,2020-04-17T13:00:05.8547910Z,2020-04-17T13:59:41.4623720Z,233.77,234.01,230.2,232.79,1977.769947,552
2020-04-17T14:00:00.0000000Z,2020-04-17T15:00:00.0000000Z,2020-04-17T14:00:57.9107620Z,2020-04-17T14:59:51.4353630Z,232.63,233.39,230.7,231.37,670.54687752,357
2020-04-17T15:00:00.0000000Z,2020-04-17T16:00:00.0000000Z,2020-04-17T15:00:09.9003870Z,2020-04-17T15:59:49.2701690Z,231.22,233.14,231.08,232.43,1026.56118943,363
2020-04-17T16:00:00.0000000Z,2020-04-17T17:00:00.0000000Z,2020-04-17T16:00:47.9713410Z,2020-04-17T16:59:46.2484880Z,232.21,233.59,231.98,232.77,1057.75577055,390
2020-04-17T17:00:00.0000000Z,2020-04-17T18:00:00.0000000Z,2020-04-17T17:00:16.1330000Z,2020-04-17T17:59:41.7392000Z,232.7,233.6,231.92,232.06,749.50432369,325
2020-04-17T18:00:00.0000000Z,2020-04-17T19:00:00.0000000Z,2020-04-17T18:00:04.5516480Z,2020-04-17T18:59:41.8386480Z,232.03,232.25,230.7,231.57,2179.14573317,878
2020-04-17T19:00:00.0000000Z,2020-04-17T20:00:00.0000000Z,2020-04-17T19:01:06.8475120Z,2020-04-17T19:59:53.7110000Z,231.8,233.98,231.78,233.48,2076.29230054,430
2020-04-17T20:00:00.0000000Z,2020-04-17T21:00:00.0000000Z,2020-04-17T20:00:06.3840000Z,2020-04-17T20:59:59.7623310Z,233.41,234.75,232.93,233.15,1463.21953944,448
2020-04-17T21:00:00.0000000Z,2020-04-17T22:00:00.0000000Z,2020-04-17T21:00:41.6265990Z,2020-04-17T21:59:45.5817030Z,233.14,234.0,232.42,232.67,1000.39573249,381
2020-04-17T22:00:00.0000000Z,2020-04-17T23:00:00.0000000Z,2020-04-17T22:00:13.3296960Z,2020-04-17T22:59:39.4483340Z,232.66,233.61,232.6,232.95,704.96224691,487
