time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-04-17T00:00:00.0000000Z,2020-04-18T00:00:00.0000000Z,2020-04-17T00:00:00.9027400Z,2020-04-17T23:59:53.6170000Z,235.27,237.25,229.1,231.52,43974.26435993,12479
2020-04-18T00:00:00.0000000Z,2020-04-19T00:00:00.0000000Z,2020-04-18T00:00:09.5275330Z,2020-04-18T23:59:33.8010000Z,231.91,249.21,231.91,244.24,58276.64928257,14863
2020-04-19T00:00:00.0000000Z,2020-04-20T00:00:00.0000000Z,2020-04-19T00:00:00.5183180Z,2020-04-19T23:59:58.2310000Z,244.14,249.35,229.07,231.9,48879.6373157,12956
2020-04-20T00:00:00.0000000Z,2020-04-21T00:00:00.0000000Z,2020-04-20T00:00:13.5650000Z,2020-04-20T23:59:59.0818610Z,231.8,238.69,215.74,219.36,84597.97452104,19587
2020-04-21T00:00:00.0000000Z,2020-04-22T00:00:00.0000000Z,2020-04-21T00:00:03.2836070Z,2020-04-21T23:59:58.3240000Z,219.43,223.9,215.6,219.9,47750.11352436,13448
2020-04-22T00:00:00.0000000Z,2020-04-23T00:00:00.0000000Z,2020-04-22T00:00:01.2437320Z,2020-04-22T23:59:18.2910000Z,219.82,236.45,217.79,233.6,41391.52730295,12523
2020-04-23T00:00:00.0000000Z,2020-04-24T00:00:00.0000000Z,2020-04-23T00:00:23.9280000Z,2020-04-23T23:59:54.8963150Z,233.6,247.4,225.97,237.7,83388.92985192,20303
2020-04-24T00:00:00.0000000Z,2020-04-25T00:00:00.0000000Z,2020-04-24T00:00:00.9985310Z,2020-04-24T23:59:37.0920650Z,237.73,242.46,233.89,238.02,38530.17149812,11694
2020-04-25T00:00:00.0000000Z,2020-04-26T00:00:00.0000000Z,2020-04-25T00:00:29.7636320Z,2020-04-25T23:59:55.1280000Z,238.24,246.11,234.5,238.5,38377.23049791,11638
2020-04-26T00:00:00.0000000Z,2020-04-27T00:00:00.0000000Z,2020-04-26T00:00:00.8291720Z,2020-04-26T23:59:56.2923790Z,238.34,249.49,237.69,246.72,45613.21034084,12480
2020-04-27T00:00:00.0000000Z,2020-04-28T00:00:00.0000000Z,2020-04-27T00:00:01.0190000Z,2020-04-27T23:59:17.3850000Z,246.5,248.3,234.23,243.0,59258.26176663,15237
2020-04-28T00:00:00.0000000Z,2020-04-29T00:00:00.0000000Z,2020-04-28T00:00:01.6681910Z,2020-04-28T23:59:57.4461880Z,243.24,243.6,237.4,241.65,32303.04553723,9065
2020-04-29T00:00:00.0000000Z,2020-04-30T00:00:00.0000000Z,2020-04-29T00:00:00.8971790Z,2020-04-29T23:59:59.7950000Z,241.65,263.71,241.29,257.9,120561.16524155,29384
2020-04-30T00:00:00.0000000Z,2020-05-01T00:00:00.0000000Z,2020-04-30T00:00:01.4258030Z,2020-04-30T23:59:56.6161260Z,257.87,276.27,245.31,250.1,139509.66591431,34363
2020-05-01T00:00:00.0000000Z,2020-05-02T00:00:00.0000000Z,2020-05-01T00:00:06.5520000Z,2020-05-01T23:59:41.6254290Z,250.0,260.6,250.0,255.01,44332.39318341,14866
2020-05-02T00:00:00.0000000Z,2020-05-03T00:00:00.0000000Z,2020-05-02T00:00:13.5973890Z,2020-05-02T23:59:27.9190000Z,254.82,261.6,252.39,260.9,26074.46342608,9994
2020-05-03T00:00:00.0000000Z,2020-05-04T00:00:00.0000000Z,2020-05-03T00:00:02.1653670Z,2020-05-03T23:59:59.3580000Z,261.24,268.07,245.6,251.8,57495.33858996,16109
2020-05-04T00:00:00.0000000Z,2020-05-05T00:00:00.0000000Z,2020-05-04T00:00:03.0940950Z,2020-05-04T23:59:37.8780000Z,252.04,252.88,228.8,246.4,55132.12797296,16534
2020-05-05T00:00:00.0000000Z,2020-05-06T00:00:00.0000000Z,2020-05-05T00:00:14.1470000Z,2020-05-05T23:59:57.9160000Z,246.4,252.45,241.07,247.2,31917.41397716,10236
2020-05-06T00:00:00.0000000Z,2020-05-07T00:00:00.0000000Z,2020-05-06T00:00:03.4940000Z,2020-05-06T23:59:57.1630000Z,247.2,253.98,240.0,242.1,46010.68641367,13262
2020-05-07T00:00:00.0000000Z,2020-05-08T00:00:00.0000000Z,2020-05-07T00:00:00.5227330Z,2020-05-07T23:59:56.4865000Z,241.84,256.85,226.9,252.54,82925.84723458,19464
2020-05-08T00:00:00.0000000Z,2020-05-09T00:00:00.0000000Z,2020-05-08T00:00:00.5897690Z,2020-05-08T23:59:58.7093660Z,252.55,266.1,248.2,260.6,74564.48404476,22336
2020-05-09T00:00:00.0000000Z,2020-05-10T00:00:00.0000000Z,2020-05-09T00:00:03.6900000Z,2020-05-09T23:59:59.7430000Z,260.47,277.68,258.45,265.5,108612.67936789,27491
2020-05-10T00:00:00.0000000Z,2020-05-11T00:00:00.0000000Z,2020-05-10T00:00:01.3445980Z,2020-05-10T23:59:53.0510000Z,265.36,265.7,220.25,233.11,164787.8087243,43369
2020-05-11T00:00:00.0000000Z,2020-05-12T00:00:00.0000000Z,2020-05-11T00:00:01.5036640Z,2020-05-11T23:59:59.8950000Z,233.05,238.7,217.55,235.3,119408.20499006,29587
2020-05-12T00:00:00.0000000Z,2020-05-13T00:00:00.0000000Z,2020-05-12T00:00:00.7605120Z,2020-05-12T23:59:26.0681060Z,235.41,239.52,227.32,233.55,53244.41480404,13932
2020-05-13T00:00:00.0000000Z,2020-05-14T00:00:00.0000000Z,2020-05-13T00:00:02.1785890Z,2020-05-13T23:59:56.4606800Z,233.44,242.4,231.98,239.78,35432.35907366,11138
2020-05-14T00:00:00.0000000Z,2020-05-15T00:00:00.0000000Z,2020-05-14T00:00:16.6299910Z,2020-05-14T23:59:53.4880000Z,239.76,246.06,234.0,242.7,59744.33295432,19766
2020-05-15T00:00:00.0000000Z,2020-05-16T00:00:00.0000000Z,2020-05-15T00:00:15.2000000Z,2020-05-15T23:59:15.4524620Z,242.5,243.41,230.0,234.85,46226.04297331,17442
2020-05-16T00:00:00.0000000Z,2020-05-17T00:00:00.0000000Z,2020-05-16T00:00:14.5469870Z,2020-05-16T23:59:47.0940000Z,235.03,240.82,233.43,236.82,31914.87846418,11112
2020-05-17T00:00:00.0000000Z,2020-05-18T00:00:00.0000000Z,2020-05-17T00:00:00.5022860Z,2020-05-17T23:59:47.7184050Z,236.52,246.18,235.54,240.68,30454.10359844,9840
2020-05-18T00:00:00.0000000Z,2020-05-19T00:00:00.0000000Z,2020-05-18T00:00:25.8850000Z,2020-05-18T23:59:57.3958330Z,240.82,255.55,240.4,248.14,67522.06313501,16568
2020-05-19T00:00:00.0000000Z,2020-05-20T00:00:00.0000000Z,2020-05-19T00:00:00.2992440Z,2020-05-19T23:59:54.5620970Z,248.14,250.95,242.17,246.94,23630.47465166,8344
2020-05-20T00:00:00.0000000Z,2020-05-21T00:00:00.0000000Z,2020-05-20T00:00:07.7646990Z,2020-05-20T23:59:58.8330520Z,246.93,248.31,234.01,239.61,44105.36042161,14502
2020-05-21T00:00:00.0000000Z,2020-05-22T00:00:00.0000000Z,2020-05-21T00:00:01.0687390Z,2020-05-21T23:59:48.9368130Z,239.62,242.82,220.2,228.0,69663.27600664,21150
2020-05-22T00:00:00.0000000Z,2020-05-23T00:00:00.0000000Z,2020-05-22T00:00:17.7070000Z,2020-05-22T23:59:44.5362130Z,227.7,237.54,225.0,234.73,40741.34258017,14463
2020-05-23T00:00:00.0000000Z,2020-05-24T00:00:00.0000000Z,2020-05-23T00:00:09.8911890Z,2020-05-23T23:59:49.7429140Z,234.73,240.05,232.0,234.24,26191.02789669,10567
2020-05-24T00:00:00.0000000Z,2020-05-25T00:00:00.0000000Z,2020-05-24T00:00:17.7222790Z,2020-05-24T23:59:59.6100000Z,234.17,237.51,222.5,222.8,27405.46558925,8860
2020-05-25T00:00:00.0000000Z,2020-05-26T00:00:00.0000000Z,2020-05-25T00:00:00.4597970Z,2020-05-25T23:59:15.1785430Z,222.89,233.1,220.7,230.38,30521.62070454,8504
2020-05-26T00:00:00.0000000Z,2020-05-27T00:00:00.0000000Z,2020-05-26T00:00:11.3577220Z,2020-05-26T23:59:44.3930000Z,230.45,231.43,223.77,227.9,24640.78838267,7623
2020-05-27T00:00:00.0000000Z,2020-05-28T00:00:00.0000000Z,2020-05-27T00:00:12.0615530Z,2020-05-27T23:59:59.0127110Z,227.99,234.67,227.0,232.82,20383.73003883,9284
2020-05-28T00:00:00.0000000Z,2020-05-29T00:00:00.0000000Z,2020-05-28T00:00:18.4811410Z,2020-05-28T23:59:58.1198040Z,232.85,240.97,228.77,239.95,30513.43325573,12112
2020-05-29T00:00:00.0000000Z,2020-05-30T00:00:00.0000000Z,2020-05-29T00:00:01.5013470Z,2020-05-29T23:59:58.1420000Z,239.93,244.0,233.77,238.2,28238.87215726,12207
2020-05-30T00:00:00.0000000Z,2020-05-31T00:00:00.0000000Z,2020-05-30T00:00:24.2003750Z,2020-05-30T23:59:55.2246950Z,238.44,253.5,236.18,252.34,52767.31843213,14297
2020-05-31T00:00:00.0000000Z,2020-06-01T00:00:00.0000000Z,2020-05-31T00:00:00.4409500Z,2020-05-31T23:59:59.4020000Z,252.36,252.73,236.18,238.54,36447.57912434,11200
2020-06-01T00:00:00.0000000Z,2020-06-02T00:00:00.0000000Z,2020-06-01T00:00:00.2509800Z,2020-06-01T23:59:59.4200490Z,238.5,255.47,237.47,253.14,47476.90195976,16317
2020-06-02T00:00:00.0000000Z,2020-06-03T00:00:00.0000000Z,2020-06-02T00:00:00.4410000Z,2020-06-02T23:59:57.4043270Z,253.2,269.23,238.6,250.97,111872.14738826,31241
2020-06-03T00:00:00.0000000Z,2020-06-04T00:00:00.0000000Z,2020-06-03T00:00:05.8475410Z,2020-06-03T23:59:38.4280000Z,250.85,253.83,246.25,252.99,36471.36527054,15910
2020-06-04T00:00:00.0000000Z,2020-06-05T00:00:00.0000000Z,2020-06-04T00:00:01.0311570Z,2020-06-04T23:59:23.5825140Z,253.24,261.3,247.32,256.24,46007.24098241,16372
2020-06-05T00:00:00.0000000Z,2020-06-06T00:00:00.0000000Z,2020-06-05T00:00:03.9359080Z,2020-06-05T23:59:56.5936470Z,256.2,263.5,254.27,255.98,36196.59589355,11554
2020-06-06T00:00:00.0000000Z,2020-06-07T00:00:00.0000000Z,2020-06-06T00:00:03.4561870Z,2020-06-06T23:59:43.0173530Z,255.97,258.29,250.97,253.22,22596.58528884,8825
2020-06-07T00:00:00.0000000Z,2020-06-08T00:00:00.0000000Z,2020-06-07T00:00:36.9510000Z,2020-06-07T23:59:58.0220000Z,253.2,255.7,245.43,253.6,45576.86141271,12102
2020-06-08T00:00:00.0000000Z,2020-06-09T00:00:00.0000000Z,2020-06-08T00:00:00.9081630Z,2020-06-08T23:59:47.3041160Z,253.69,257.0,251.37,255.27,27135.45268752,8083
2020-06-09T00:00:00.0000000Z,2020-06-10T00:00:00.0000000Z,2020-06-09T00:00:15.1540680Z,2020-06-09T23:59:56.8858590Z,255.54,257.23,249.3,254.16,23125.24959501,8629
2020-06-10T00:00:00.0000000Z,2020-06-11T00:00:00.0000000Z,2020-06-10T00:00:04.3470000Z,2020-06-10T23:59:47.8932740Z,254.0,259.02,250.03,257.19,37142.43665757,11751
2020-06-11T00:00:00.0000000Z,2020-06-12T00:00:00.0000000Z,2020-06-11T00:00:25.9298890Z,2020-06-11T23:59:56.9002730Z,257.25,258.54,230.63,234.59,66072.67467297,19898
2020-06-12T00:00:00.0000000Z,2020-06-13T00:00:00.0000000Z,2020-06-12T00:00:04.0662250Z,2020-06-12T23:59:56.2669500Z,234.46,243.57,232.82,240.72,34860.3862089,11213
2020-06-13T00:00:00.0000000Z,2020-06-14T00:00:00.0000000Z,2020-06-13T00:00:10.0395870Z,2020-06-13T23:59:15.6820100Z,240.69,242.28,236.93,240.62,16525.33091812,6233
2020-06-14T00:00:00.0000000Z,2020-06-15T00:00:00.0000000Z,2020-06-14T00:00:24.9399570Z,2020-06-14T23:59:33.4207820Z,240.65,241.0,234.91,237.21,19133.64964847,6206
2020-06-15T00:00:00.0000000Z,2020-06-16T00:00:00.0000000Z,2020-06-15T00:00:01.6580000Z,2020-06-15T23:58:41.6016010Z,237.6,238.51,224.22,235.72,50165.88906289,14671
2020-06-16T00:00:00.0000000Z,2020-06-17T00:00:00.0000000Z,2020-06-16T00:00:34.8369840Z,2020-06-16T23:59:28.1435550Z,235.77,239.4,232.81,237.49,24548.43424711,7725
2020-06-17T00:00:00.0000000Z,2020-06-18T00:00:00.0000000Z,2020-06-17T00:00:00.3390000Z,2020-06-17T23:58:41.0259570Z,237.67,243.16,235.13,240.15,28827.82397368,9223
2020-06-18T00:00:00.0000000Z,2020-06-19T00:00:00.0000000Z,2020-06-18T00:00:06.7231620Z,2020-06-18T23:59:18.5066780Z,240.17,240.41,232.17,235.93,19201.1524866,8751
2020-06-19T00:00:00.0000000Z,2020-06-20T00:00:00.0000000Z,2020-06-19T00:00:01.1850000Z,2020-06-19T23:59:48.8380530Z,235.7,236.22,230.1,233.1,21442.7684842,7637
2020-06-20T00:00:00.0000000Z,2020-06-21T00:00:00.0000000Z,2020-06-20T00:00:01.3928190Z,2020-06-20T23:59:34.9971130Z,233.14,234.96,228.41,232.68,21885.50825276,8021
2020-06-21T00:00:00.0000000Z,2020-06-22T00:00:00.0000000Z,2020-06-21T00:00:14.0768010Z,2020-06-21T23:59:12.1765550Z,232.71,234.1,229.4,230.05,11641.98797237,5020
2020-06-22T00:00:00.0000000Z,2020-06-23T00:00:00.0000000Z,2020-06-22T00:00:22.8395560Z,2020-06-22T23:59:45.4649060Z,229.99,244.02,229.49,241.03,29340.04847918,10694
2020-06-23T00:00:00.0000000Z,2020-06-24T00:00:00.0000000Z,2020-06-23T00:00:00.6366230Z,2020-06-23T23:59:53.8226440Z,241.02,244.33,239.05,240.52,23238.91073592,8489
2020-06-24T00:00:00.0000000Z,2020-06-25T00:00:00.0000000Z,2020-06-24T00:00:16.3058560Z,2020-06-24T23:59:44.7980310Z,240.49,245.49,229.2,232.73,36178.56163479,11529
2020-06-25T00:00:00.0000000Z,2020-06-26T00:00:00.0000000Z,2020-06-25T00:00:06.9870000Z,2020-06-25T23:59:46.6853770Z,232.5,234.96,226.0,232.36,25019.55751127,8328
2020-06-26T00:00:00.0000000Z,2020-06-27T00:00:00.0000000Z,2020-06-26T00:00:06.0820000Z,2020-06-26T23:59:59.4813680Z,232.2,233.51,227.8,230.49,18819.07798033,7055
2020-06-27T00:00:00.0000000Z,2020-06-28T00:00:00.0000000Z,2020-06-27T00:00:05.3425290Z,2020-06-27T23:59:12.1571670Z,230.58,231.21,204.26,216.27,50705.48064224,15695
2020-06-28T00:00:00.0000000Z,2020-06-29T00:00:00.0000000Z,2020-06-28T00:00:04.5007230Z,2020-06-28T23:59:57.9928310Z,216.27,225.5,213.07,222.31,30460.22322247,10305
2020-06-29T00:00:00.0000000Z,2020-06-30T00:00:00.0000000Z,2020-06-29T00:00:12.5711040Z,2020-06-29T23:59:45.2915140Z,222.57,227.4,218.02,225.09,30998.17671605,10074
2020-06-30T00:00:00.0000000Z,2020-07-01T00:00:00.0000000Z,2020-06-30T00:00:01.4636260Z,2020-06-30T23:59:15.3789260Z,225.34,226.64,220.3,221.98,22772.58653807,7270
2020-07-01T00:00:00.0000000Z,2020-07-02T00:00:00.0000000Z,2020-07-01T00:00:40.0170000Z,2020-07-01T23:59:15.2052980Z,222.0,226.77,220.65,223.73,29686.43553294,10974
2020-07-02T00:00:00.0000000Z,2020-07-03T00:00:00.0000000Z,2020-07-02T00:00:05.2555150Z,2020-07-02T23:59:26.5446070Z,223.8,225.6,217.1,219.65,29171.55088972,11373
2020-07-03T00:00:00.0000000Z,2020-07-04T00:00:00.0000000Z,2020-07-03T00:00:17.9286150Z,2020-07-03T23:59:15.1595460Z,219.67,224.98,219.15,220.66,22277.49106631,7726
2020-07-04T00:00:00.0000000Z,2020-07-05T00:00:00.0000000Z,2020-07-04T00:00:00.5031550Z,2020-07-04T23:59:15.2154450Z,220.69,230.0,220.17,225.39,18420.82373668,6295
2020-07-05T00:00:00.0000000Z,2020-07-06T00:00:00.0000000Z,2020-07-05T00:00:01.8030000Z,2020-07-05T23:59:58.5071850Z,225.4,225.99,215.49,222.11,17775.14821468,6852
2020-07-06T00:00:00.0000000Z,2020-07-07T00:00:00.0000000Z,2020-07-06T00:00:03.4300740Z,2020-07-06T23:59:09.8289200Z,222.29,243.52,221.77,242.29,55713.13850511,17797
2020-07-07T00:00:00.0000000Z,2020-07-08T00:00:00.0000000Z,2020-07-07T00:00:00.0577890Z,2020-07-07T23:59:42.2683740Z,242.36,244.5,234.8,237.77,27300.351886,11111
2020-07-08T00:00:00.0000000Z,2020-07-09T00:00:00.0000000Z,2020-07-08T00:00:00.6909140Z,2020-07-08T23:59:52.2650000Z,237.77,246.0,235.84,243.2,35512.19245368,13242
2020-07-09T00:00:00.0000000Z,2020-07-10T00:00:00.0000000Z,2020-07-09T00:00:15.9570000Z,2020-07-09T23:58:53.2240000Z,243.2,245.53,232.2,238.0,34185.32878185,12272
2020-07-10T00:00:00.0000000Z,2020-07-11T00:00:00.0000000Z,2020-07-10T00:00:20.8998690Z,2020-07-10T23:59:56.3636940Z,238.18,240.0,232.49,238.27,20793.08063056,8503
2020-07-11T00:00:00.0000000Z,2020-07-12T00:00:00.0000000Z,2020-07-11T00:00:09.6530000Z,2020-07-11T23:59:49.7726640Z,238.2,239.31,234.61,236.62,13295.12901397,6366
2020-07-12T00:00:00.0000000Z,2020-07-13T00:00:00.0000000Z,2020-07-12T00:00:05.9286370Z,2020-07-12T23:59:16.2000000Z,236.65,239.85,232.0,237.4,17559.27012259,7828
2020-07-13T00:00:00.0000000Z,2020-07-14T00:00:00.0000000Z,2020-07-13T00:00:05.4064510Z,2020-07-13T23:59:51.9240000Z,237.57,238.17,223.75,231.8,42582.56187081,14440
2020-07-14T00:00:00.0000000Z,2020-07-15T00:00:00.0000000Z,2020-07-14T00:00:10.6370100Z,2020-07-14T23:59:55.3505340Z,231.9,231.99,226.2,230.05,21753.22193126,9205
2020-07-15T00:00:00.0000000Z,2020-07-16T00:00:00.0000000Z,2020-07-15T00:00:03.7411880Z,2020-07-15T23:59:57.6670000Z,230.08,231.99,225.7,227.3,22808.83323359,9279
2020-07-16T00:00:00.0000000Z,2020-07-17T00:00:00.0000000Z,2020-07-16T00:00:54.5030190Z,2020-07-16T23:59:53.2600650Z,227.24,228.02,216.66,224.14,30353.93963597,11452
2020-07-17T00:00:00.0000000Z,2020-07-18T00:00:00.0000000Z,2020-07-17T00:00:03.6435950Z,2020-07-17T23:59:12.8521890Z,224.13,225.43,221.6,222.52,18463.58899377,6832
2020-07-18T00:00:00.0000000Z,2020-07-19T00:00:00.0000000Z,2020-07-18T00:00:19.4547420Z,2020-07-18T23:59:29.0365720Z,222.5,226.63,221.75,224.35,15087.69401595,5773
2020-07-19T00:00:00.0000000Z,2020-07-20T00:00:00.0000000Z,2020-07-19T00:00:16.5258060Z,2020-07-19T23:59:59.1926240Z,224.33,228.9,220.3,227.87,14811.03330182,6505
2020-07-20T00:00:00.0000000Z,2020-07-21T00:00:00.0000000Z,2020-07-20T00:00:04.9789920Z,2020-07-20T23:59:15.1207970Z,227.96,228.6,220.82,222.8,17260.48540445,7526
2020-07-21T00:00:00.0000000Z,2020-07-22T00:00:00.0000000Z,2020-07-21T00:00:08.4760000Z,2020-07-21T23:59:58.1177790Z,222.7,232.85,222.2,230.62,25060.4190512,9847
2020-07-22T00:00:00.0000000Z,2020-07-23T00:00:00.0000000Z,2020-07-22T00:00:03.4046350Z,2020-07-22T23:59:48.8466190Z,230.52,240.36,227.75,240.2,37267.07989018,13926
2020-07-23T00:00:00.0000000Z,2020-07-24T00:00:00.0000000Z,2020-07-23T00:00:01.0716910Z,2020-07-23T23:59:58.9209770Z,240.27,243.77,235.0,238.56,38142.29539281,14084
2020-07-24T00:00:00.0000000Z,2020-07-25T00:00:00.0000000Z,2020-07-24T00:00:37.9723740Z,2020-07-24T23:59:56.1537610Z,238.56,239.45,232.63,235.37,27361.5881289,10593
2020-07-25T00:00:00.0000000Z,2020-07-26T00:00:00.0000000Z,2020-07-25T00:00:25.4865750Z,2020-07-25T23:59:59.9376360Z,235.59,253.92,235.11,251.47,57604.75098531,17880
2020-07-26T00:00:00.0000000Z,2020-07-27T00:00:00.0000000Z,2020-07-26T00:00:09.0790000Z,2020-07-26T23:59:13.5969740Z,251.4,257.95,244.27,247.78,53307.96758186,15855
2020-07-27T00:00:00.0000000Z,2020-07-28T00:00:00.0000000Z,2020-07-27T00:00:11.1655810Z,2020-07-27T23:59:53.9346300Z,247.77,275.87,247.38,268.91,143425.98475385,42145
2020-07-28T00:00:00.0000000Z,2020-07-29T00:00:00.0000000Z,2020-07-28T00:00:17.8251620Z,2020-07-28T23:59:49.6137650Z,269.04,298.64,261.68,289.63,139530.66367986,41668
