time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-04-17T00:00:00.0000000Z,2020-04-18T00:00:00.0000000Z,2020-04-17T00:33:23.3720000Z,2020-04-17T22:26:10.7850000Z,0.0019937,0.0020034,0.0019808,0.0019868,1209585.01773508,21
2020-04-18T00:00:00.0000000Z,2020-04-19T00:00:00.0000000Z,2020-04-18T05:22:11.9110000Z,2020-04-18T22:56:31.4480000Z,0.0019966,0.0020624,0.0019966,0.0020384,8156636.92294573,51
2020-04-19T00:00:00.0000000Z,2020-04-20T00:00:00.0000000Z,2020-04-19T00:27:20.3500000Z,2020-04-19T23:06:50.1630000Z,0.0020442,0.00218,0.00192,0.002042,14597851.24313309,171
2020-04-20T00:00:00.0000000Z,2020-04-21T00:00:00.0000000Z,2020-04-20T05:00:24.9190000Z,2020-04-20T20:33:32.6150000Z,0.0020405,0.0020972,0.0019581,0.0019599,996420.42758617,34
2020-04-21T00:00:00.0000000Z,2020-04-22T00:00:00.0000000Z,2020-04-21T00:05:47.7930000Z,2020-04-21T23:13:42.4990000Z,0.001966,0.0019862,0.0019108,0.0019836,654302.13484939,22
2020-04-22T00:00:00.0000000Z,2020-04-23T00:00:00.0000000Z,2020-04-22T01:16:21.4000000Z,2020-04-22T22:19:32.3160000Z,0.0019677,0.0021171,0.0019677,0.0020049,686315.37792121,28
2020-04-23T00:00:00.0000000Z,2020-04-24T00:00:00.0000000Z,2020-04-23T01:45:11.5370000Z,2020-04-23T23:38:03.6520000Z,0.0020184,0.0022367,0.0019108,0.0020602,6461743.60829434,130
2020-04-24T00:00:00.0000000Z,2020-04-25T00:00:00.0000000Z,2020-04-24T00:01:19.9720000Z,2020-04-24T23:15:40.4300000Z,0.0020385,0.0022362,0.0019621,0.0020839,2007417.87535395,474
2020-04-25T00:00:00.0000000Z,2020-04-26T00:00:00.0000000Z,2020-04-25T01:11:31.2070000Z,2020-04-25T21:20:27.3120000Z,0.00208,0.0021783,0.00208,0.0021183,1881764.67755576,39
2020-04-26T00:00:00.0000000Z,2020-04-27T00:00:00.0000000Z,2020-04-26T00:15:07.5510000Z,2020-04-26T23:28:15.8400000Z,0.002148,0.0025,0.002148,0.0024292,29862019.28549173,470
2020-04-27T00:00:00.0000000Z,2020-04-28T00:00:00.0000000Z,2020-04-27T00:01:48.0800000Z,2020-04-27T23:57:15.2190000Z,0.0024014,0.0024014,0.0022497,0.0023478,17225714.92612093,366
2020-04-28T00:00:00.0000000Z,2020-04-29T00:00:00.0000000Z,2020-04-28T00:24:11.5930000Z,2020-04-28T23:07:46.8150000Z,0.00234,0.0023862,0.0023001,0.0023279,14021833.87677207,397
2020-04-29T00:00:00.0000000Z,2020-04-30T00:00:00.0000000Z,2020-04-29T00:09:30.3710000Z,2020-04-29T23:37:47.0890000Z,0.0023128,0.002565,0.002308,0.00243,52313620.29633092,505
2020-04-30T00:00:00.0000000Z,2020-05-01T00:00:00.0000000Z,2020-04-30T01:14:39.4470000Z,2020-04-30T22:24:20.7260000Z,0.0025141,0.0026834,0.0022307,0.0023374,22614784.68368783,388
2020-05-01T00:00:00.0000000Z,2020-05-02T00:00:00.0000000Z,2020-05-01T01:16:48.9390000Z,2020-05-01T23:35:17.8320000Z,0.0024632,0.0025458,0.0024591,0.0025078,6094584.54590721,122
2020-05-02T00:00:00.0000000Z,2020-05-03T00:00:00.0000000Z,2020-05-02T01:16:23.9860000Z,2020-05-02T23:35:51.4530000Z,0.0024676,0.0025582,0.002425,0.0025415,20264458.78060462,234
2020-05-03T00:00:00.0000000Z,2020-05-04T00:00:00.0000000Z,2020-05-03T01:54:08.8850000Z,2020-05-03T23:20:59.6140000Z,0.0025542,0.0026134,0.0024681,0.0025819,6009515.71339386,103
2020-05-04T00:00:00.0000000Z,2020-05-05T00:00:00.0000000Z,2020-05-04T00:12:03.1180000Z,2020-05-04T23:30:09.6310000Z,0.0025284,0.0025477,0.0023585,0.0024948,3966509.06457587,126
2020-05-05T00:00:00.0000000Z,2020-05-06T00:00:00.0000000Z,2020-05-05T00:26:21.1090000Z,2020-05-05T21:20:01.9340000Z,0.0024928,0.0025232,0.0024386,0.0024744,3860996.33301139,106
2020-05-06T00:00:00.0000000Z,2020-05-07T00:00:00.0000000Z,2020-05-06T01:32:45.0220000Z,2020-05-06T23:22:14.2700000Z,0.0024851,0.0026148,0.0024788,0.0025538,14559628.33646986,189
2020-05-07T00:00:00.0000000Z,2020-05-08T00:00:00.0000000Z,2020-05-07T00:09:34.1340000Z,2020-05-07T23:08:54.2210000Z,0.0024325,0.00275,0.0024324,0.0026201,20899279.30829322,249
2020-05-08T00:00:00.0000000Z,2020-05-09T00:00:00.0000000Z,2020-05-08T00:14:01.6960000Z,2020-05-08T23:35:44.3080000Z,0.0026578,0.0027251,0.0025999,0.0026145,10271858.76584026,106
2020-05-09T00:00:00.0000000Z,2020-05-10T00:00:00.0000000Z,2020-05-09T00:06:44.9870000Z,2020-05-09T22:48:49.5510000Z,0.0026145,0.0026499,0.0025644,0.0026148,6585972.1493158,201
2020-05-10T00:00:00.0000000Z,2020-05-11T00:00:00.0000000Z,2020-05-10T00:14:56.3070000Z,2020-05-10T22:16:01.6200000Z,0.002568,0.002568,0.0020227,0.0024545,11037800.16298157,197
2020-05-11T00:00:00.0000000Z,2020-05-12T00:00:00.0000000Z,2020-05-11T00:36:03.8310000Z,2020-05-11T23:36:57.3430000Z,0.0024638,0.002525,0.0023002,0.002419,17331401.37584461,241
2020-05-12T00:00:00.0000000Z,2020-05-13T00:00:00.0000000Z,2020-05-12T08:35:58.6210000Z,2020-05-12T23:39:17.0090000Z,0.0024593,0.0025363,0.0024446,0.00246,2603069.8032915,57
2020-05-13T00:00:00.0000000Z,2020-05-14T00:00:00.0000000Z,2020-05-13T00:05:07.8130000Z,2020-05-13T21:37:07.9090000Z,0.00246,0.0025611,0.0024562,0.002525,929878.60805263,65
2020-05-14T00:00:00.0000000Z,2020-05-15T00:00:00.0000000Z,2020-05-14T00:50:43.4260000Z,2020-05-14T23:59:36.7730000Z,0.0025478,0.0026273,0.0025243,0.0026004,4617801.71205296,82
2020-05-15T00:00:00.0000000Z,2020-05-16T00:00:00.0000000Z,2020-05-15T00:30:46.0390000Z,2020-05-15T21:08:44.8740000Z,0.0025407,0.0025902,0.0025,0.0025069,4228229.1018543,48
2020-05-16T00:00:00.0000000Z,2020-05-17T00:00:00.0000000Z,2020-05-16T03:44:17.4060000Z,2020-05-16T21:36:31.2730000Z,0.0025217,0.0025342,0.0024981,0.0025219,922881.85738382,43
2020-05-17T00:00:00.0000000Z,2020-05-18T00:00:00.0000000Z,2020-05-17T01:43:46.6880000Z,2020-05-17T23:55:10.2210000Z,0.0024742,0.002547,0.0024742,0.00254,529541.69784668,26
2020-05-18T00:00:00.0000000Z,2020-05-19T00:00:00.0000000Z,2020-05-18T00:17:10.8480000Z,2020-05-18T23:30:39.2080000Z,0.002551,0.0025889,0.0025002,0.0025431,1660194.2668542,56
2020-05-19T00:00:00.0000000Z,2020-05-20T00:00:00.0000000Z,2020-05-19T00:05:14.4480000Z,2020-05-19T23:38:58.8300000Z,0.0025261,0.0025595,0.002494,0.0025584,1005724.52963429,51
2020-05-20T00:00:00.0000000Z,2020-05-21T00:00:00.0000000Z,2020-05-20T00:51:14.0630000Z,2020-05-20T23:26:42.2800000Z,0.0025385,0.002559,0.00247,0.0024944,1739646.27842967,43
2020-05-21T00:00:00.0000000Z,2020-05-22T00:00:00.0000000Z,2020-05-21T00:43:59.0720000Z,2020-05-21T23:07:47.1230000Z,0.0025303,0.0025455,0.002425,0.0025152,3375149.07958271,69
2020-05-22T00:00:00.0000000Z,2020-05-23T00:00:00.0000000Z,2020-05-22T00:08:14.3830000Z,2020-05-22T21:45:17.3880000Z,0.0024732,0.0025499,0.0022998,0.0025294,4873524.66804224,121
2020-05-23T00:00:00.0000000Z,2020-05-24T00:00:00.0000000Z,2020-05-23T01:14:35.1830000Z,2020-05-23T23:14:47.6490000Z,0.0025255,0.0025578,0.0024834,0.0025562,741614.89387935,56
