time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-08-18T00:00:00.0000000Z,2020-08-19T00:00:00.0000000Z,2020-08-18T17:02:07.9180000Z,2020-08-18T23:59:25.8850000Z,50.0,50.7,2.9,3.1099,3421890.05619089,8241
2020-08-19T00:00:00.0000000Z,2020-08-20T00:00:00.0000000Z,2020-08-19T00:00:10.6230000Z,2020-08-19T23:58:50.5120000Z,3.1099,3.16,2.71,2.9175,1440781.98041395,7624
2020-08-20T00:00:00.0000000Z,2020-08-21T00:00:00.0000000Z,2020-08-20T00:00:04.7500000Z,2020-08-20T23:59:50.5420000Z,2.9175,2.96,2.73,2.909,942786.99947087,3926
2020-08-21T00:00:00.0000000Z,2020-08-22T00:00:00.0000000Z,2020-08-21T00:01:08.8630000Z,2020-08-21T23:59:59.0660000Z,2.938,3.7,2.8,3.0776,1100527.29826243,5994
2020-08-22T00:00:00.0000000Z,2020-08-23T00:00:00.0000000Z,2020-08-22T00:00:24.2980000Z,2020-08-22T23:59:57.7560000Z,3.0776,4.4866,2.85,4.4515,4042307.41487488,17032
2020-08-23T00:00:00.0000000Z,2020-08-24T00:00:00.0000000Z,2020-08-23T00:00:03.8930000Z,2020-08-23T23:59:36.3210000Z,4.4642,4.4662,3.7062,3.9775,1593522.44968387,8679
2020-08-24T00:00:00.0000000Z,2020-08-25T00:00:00.0000000Z,2020-08-24T00:02:08.5460000Z,2020-08-24T23:59:59.8380000Z,4.0183,4.85,3.81,4.594,1582817.29882192,12826
2020-08-25T00:00:00.0000000Z,2020-08-26T00:00:00.0000000Z,2020-08-25T00:00:00.8550000Z,2020-08-25T23:59:40.7880000Z,4.5914,5.839,4.5001,5.55,3049241.64784694,17163
2020-08-26T00:00:00.0000000Z,2020-08-27T00:00:00.0000000Z,2020-08-26T00:00:02.1200000Z,2020-08-26T23:59:16.9170000Z,5.55,6.5789,5.11,6.0594,2137658.93829085,14902
2020-08-27T00:00:00.0000000Z,2020-08-28T00:00:00.0000000Z,2020-08-27T00:01:19.4770000Z,2020-08-27T23:59:45.8180000Z,6.0783,6.8,5.2301,5.6521,2255964.30361785,14380
