time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-09-17T00:00:00.0000000Z,2020-09-18T00:00:00.0000000Z,2020-09-17T19:10:07.3951310Z,2020-09-17T23:59:59.8524850Z,3.86,4.31,3.15,4.2101,1911653.36502,11149
2020-09-18T00:00:00.0000000Z,2020-09-19T00:00:00.0000000Z,2020-09-18T00:00:00.0118950Z,2020-09-18T23:59:59.8317210Z,4.26,8.6698,3.2935,6.9695,33210051.1528,242208
2020-09-19T00:00:00.0000000Z,2020-09-20T00:00:00.0000000Z,2020-09-19T00:00:00.9256060Z,2020-09-19T23:59:59.7142580Z,6.9695,7.4855,5.237,5.7302,12407869.607789,105595
2020-09-20T00:00:00.0000000Z,2020-09-21T00:00:00.0000000Z,2020-09-20T00:00:00.7996100Z,2020-09-20T23:59:58.9323020Z,5.715,6.0924,4.65,5.2077,8240101.786039,62002
2020-09-21T00:00:00.0000000Z,2020-09-22T00:00:00.0000000Z,2020-09-21T00:00:00.6612800Z,2020-09-21T23:59:47.9644530Z,5.209,5.6367,4.0111,4.2519,6392577.978093,42505
2020-09-22T00:00:00.0000000Z,2020-09-23T00:00:00.0000000Z,2020-09-22T00:00:00.8390910Z,2020-09-22T23:59:54.3207060Z,4.2559,4.5493,3.701,3.9126,6011646.691657,43111
2020-09-23T00:00:00.0000000Z,2020-09-24T00:00:00.0000000Z,2020-09-23T00:00:02.6589970Z,2020-09-23T23:59:56.6056940Z,3.9198,5.3933,3.9057,4.3683,13005421.68618,93627
2020-09-24T00:00:00.0000000Z,2020-09-25T00:00:00.0000000Z,2020-09-24T00:00:01.2751650Z,2020-09-24T23:59:56.6647550Z,4.374,5.2999,4.2647,5.1584,7906098.856101,57562
2020-09-25T00:00:00.0000000Z,2020-09-26T00:00:00.0000000Z,2020-09-25T00:00:06.7047140Z,2020-09-25T23:59:57.2539690Z,5.1584,5.5609,4.775,4.9219,6255256.95299853,44806
2020-09-26T00:00:00.0000000Z,2020-09-27T00:00:00.0000000Z,2020-09-26T00:00:07.2186640Z,2020-09-26T23:59:57.2961570Z,4.9211,4.9899,4.5879,4.8653,3292701.31987089,25806
2020-09-27T00:00:00.0000000Z,2020-09-28T00:00:00.0000000Z,2020-09-27T00:00:05.3292710Z,2020-09-27T23:59:58.8065360Z,4.8702,5.2111,4.7007,4.8506,2547549.37336743,19837
2020-09-28T00:00:00.0000000Z,2020-09-29T00:00:00.0000000Z,2020-09-28T00:00:10.8631720Z,2020-09-28T23:59:55.0029050Z,4.8559,4.9694,4.1598,4.25,3914427.61110514,28543
2020-09-29T00:00:00.0000000Z,2020-09-30T00:00:00.0000000Z,2020-09-29T00:00:00.4000210Z,2020-09-29T23:59:59.4362100Z,4.25,4.4524,4.122,4.3864,3387776.83880586,25442
2020-09-30T00:00:00.0000000Z,2020-10-01T00:00:00.0000000Z,2020-09-30T00:00:00.9265820Z,2020-09-30T23:59:48.9564830Z,4.3864,4.3889,3.95,4.157,2315146.06513286,21915
2020-10-01T00:00:00.0000000Z,2020-10-02T00:00:00.0000000Z,2020-10-01T00:00:06.8262680Z,2020-10-01T23:59:59.2559860Z,4.1567,4.5176,3.9,4.2423,4599239.99690014,38953
2020-10-02T00:00:00.0000000Z,2020-10-03T00:00:00.0000000Z,2020-10-02T00:00:00.0026290Z,2020-10-02T23:59:52.8517760Z,4.2378,4.2606,3.5777,3.8934,4406224.359504,33688
