time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-04-17T12:00:00.0000000Z,2020-04-17T13:00:00.0000000Z,2020-04-17T12:00:20.2350000Z,2020-04-17T12:59:17.5570000Z,1.0016,1.0017,1.0012,1.0017,105720.103215,130
2020-04-17T13:00:00.0000000Z,2020-04-17T14:00:00.0000000Z,2020-04-17T13:00:59.1320000Z,2020-04-17T13:59:44.8270000Z,1.0016,1.0017,1.0009,1.0011,193907.56498537,230
2020-04-17T14:00:00.0000000Z,2020-04-17T15:00:00.0000000Z,2020-04-17T14:00:06.5710000Z,2020-04-17T14:58:17.6410000Z,1.0011,1.0013,1.0008,1.0009,299986.49517052,295
2020-04-17T15:00:00.0000000Z,2020-04-17T16:00:00.0000000Z,2020-04-17T15:00:58.0280000Z,2020-04-17T15:58:56.8350000Z,1.0008,1.0013,1.0008,1.0011,103097.53079899,188
2020-04-17T16:00:00.0000000Z,2020-04-17T17:00:00.0000000Z,2020-04-17T16:01:18.4730000Z,2020-04-17T16:59:39.2320000Z,1.0012,1.0014,1.001,1.0014,220562.27822011,231
2020-04-17T17:00:00.0000000Z,2020-04-17T18:00:00.0000000Z,2020-04-17T17:01:09.6050000Z,2020-04-17T17:59:14.0860000Z,1.0014,1.0016,1.001,1.001,100943.34436618,185
2020-04-17T18:00:00.0000000Z,2020-04-17T19:00:00.0000000Z,2020-04-17T18:06:30.9620000Z,2020-04-17T18:59:16.6840000Z,1.001,1.0013,1.0007,1.0007,369971.70816704,118
2020-04-17T19:00:00.0000000Z,2020-04-17T20:00:00.0000000Z,2020-04-17T19:00:10.7430000Z,2020-04-17T19:57:27.6410000Z,1.001,1.0012,1.0007,1.0012,132805.42113408,163
2020-04-17T20:00:00.0000000Z,2020-04-17T21:00:00.0000000Z,2020-04-17T20:00:28.0140000Z,2020-04-17T20:58:21.8990000Z,1.0011,1.0012,1.0008,1.001,158655.61078225,132
2020-04-17T21:00:00.0000000Z,2020-04-17T22:00:00.0000000Z,2020-04-17T21:01:26.4900000Z,2020-04-17T21:58:38.2320000Z,1.0009,1.0012,1.0008,1.0008,79727.92582648,147
2020-04-17T22:00:00.0000000Z,2020-04-17T23:00:00.0000000Z,2020-04-17T22:00:23.5150000Z,2020-04-17T22:55:54.3300000Z,1.0008,1.0011,1.0007,1.0011,74526.61952251,122
2020-04-17T23:00:00.0000000Z,2020-04-18T00:00:00.0000000Z,2020-04-17T23:03:42.8460000Z,2020-04-17T23:59:52.8360000Z,1.0011,1.0015,1.0009,1.0013,191539.12344188,473
2020-04-18T00:00:00.0000000Z,2020-04-18T01:00:00.0000000Z,2020-04-18T00:00:16.2120000Z,2020-04-18T00:59:50.0510000Z,1.001,1.0014,1.0008,1.0012,183254.97575721,238
2020-04-18T01:00:00.0000000Z,2020-04-18T02:00:00.0000000Z,2020-04-18T01:00:42.9130000Z,2020-04-18T01:56:55.0220000Z,1.0012,1.0015,1.001,1.0011,126913.03638389,120
