time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2020-04-16T00:00:00.0000000Z,2020-04-17T00:00:00.0000000Z,2020-04-16T00:00:06.6250000Z,2020-04-16T23:59:56.2930000Z,1.0005,1.0022,1.0003,1.0016,5527014.40366535,10481
2020-04-17T00:00:00.0000000Z,2020-04-18T00:00:00.0000000Z,2020-04-17T00:00:56.7420000Z,2020-04-17T23:59:52.8360000Z,1.0016,1.002,1.0,1.0013,4795888.40945866,4735
2020-04-18T00:00:00.0000000Z,2020-04-19T00:00:00.0000000Z,2020-04-18T00:00:16.2120000Z,2020-04-18T23:58:06.9270000Z,1.001,1.002,1.0008,1.0012,3861385.88147183,5299
2020-04-19T00:00:00.0000000Z,2020-04-20T00:00:00.0000000Z,2020-04-19T00:00:14.1880000Z,2020-04-19T23:59:19.9640000Z,1.0012,1.0017,1.0009,1.0015,3503326.6304703,4708
2020-04-20T00:00:00.0000000Z,2020-04-21T00:00:00.0000000Z,2020-04-20T00:00:05.1450000Z,2020-04-20T23:58:48.7390000Z,1.0015,1.0018,1.0006,1.0013,8340081.39601474,8206
2020-04-21T00:00:00.0000000Z,2020-04-22T00:00:00.0000000Z,2020-04-21T00:00:36.6300000Z,2020-04-21T23:55:16.5350000Z,1.0012,1.0019,1.0011,1.0015,5627888.46903048,5887
2020-04-22T00:00:00.0000000Z,2020-04-23T00:00:00.0000000Z,2020-04-22T00:00:33.6200000Z,2020-04-22T23:59:33.5380000Z,1.0016,1.0019,1.0011,1.0014,4755060.4632835,5911
2020-04-23T00:00:00.0000000Z,2020-04-24T00:00:00.0000000Z,2020-04-23T00:00:56.0350000Z,2020-04-23T23:59:55.6140000Z,1.0012,1.002,1.0006,1.0007,6465623.30592568,7807
2020-04-24T00:00:00.0000000Z,2020-04-25T00:00:00.0000000Z,2020-04-24T00:00:07.3660000Z,2020-04-24T23:56:33.2350000Z,1.0009,1.0015,0.9999,1.0015,5805847.00286053,7297
2020-04-25T00:00:00.0000000Z,2020-04-26T00:00:00.0000000Z,2020-04-25T00:00:05.4440000Z,2020-04-25T23:58:51.3580000Z,1.0013,1.0015,1.0001,1.0009,4692783.28427499,6030
2020-04-26T00:00:00.0000000Z,2020-04-27T00:00:00.0000000Z,2020-04-26T00:00:04.2400000Z,2020-04-26T23:59:59.8590000Z,1.001,1.0013,0.9999,1.0009,3460804.36977367,4927
2020-04-27T00:00:00.0000000Z,2020-04-28T00:00:00.0000000Z,2020-04-27T00:00:01.6700000Z,2020-04-27T23:59:39.2490000Z,1.0009,1.0017,1.0007,1.0015,4829886.43653941,5702
2020-04-28T00:00:00.0000000Z,2020-04-29T00:00:00.0000000Z,2020-04-28T00:00:10.5610000Z,2020-04-28T23:59:43.9120000Z,1.0015,1.0019,1.0008,1.0016,5629393.83392482,5624
2020-04-29T00:00:00.0000000Z,2020-04-30T00:00:00.0000000Z,2020-04-29T00:00:02.4110000Z,2020-04-29T23:58:18.6750000Z,1.0016,1.003,1.0009,1.0009,9550141.542957,11527
